id	Age	EduLevel	Gender	ReadAb	Q44	Q63	Q76	Q77	Q84	Q98	Q170	Q196
556	27	2	1	3	4	4	5	5	3	4	5	5
558	32	4	2	4	3	3	2	4	4	3	4	4
559	-999	2	2	4	4	5	4	3	3	4	4	4
560	41	-999	-999	-999	4	5	4	3	3	4	4	4
561	39	5	1	4	4	5	4	4	3	4	5	5
562	-999	3	1	4	3	4	3	3	4	4	4	4
564	34	2	1	3	3	4	4	4	3	4	4	4
565	55	1	1	3	4	2	3	3	2	3	3	3
566	31	4	1	4	1	4	4	1	2	4	4	3
567	30	2	1	4	3	5	4	5	2	3	5	4
568	29	4	2	4	4	3	2	5	4	4	4	4
571	36	7	2	4	3	3	3	3	3	5	5	4
572	-999	-999	-999	-999	5	2	3	3	5	4	3	-999
573	28	7	2	4	4	4	4	4	3	4	5	4
575	-999	2	2	4	5	3	3	4	2	4	4	4
577	29	-999	1	4	3	5	3	4	5	5	4	4
578	-999	2	2	4	4	5	5	2	4	4	5	2
579	-999	1	1	3	3	3	2	3	4	2	4	4
581	-999	4	1	3	4	3	3	3	4	4	4	3
582	35	4	2	4	4	4	4	3	3	4	5	5
583	25	4	2	4	-999	4	4	2	4	3	5	3
584	28	2	2	4	3	4	4	3	3	4	3	3
585	32	4	2	4	5	5	5	4	4	5	5	5
586	57	2	2	4	3	3	5	3	3	4	3	4
587	30	4	1	4	3	4	3	4	4	5	5	4
588	29	-999	1	4	4	4	4	2	4	4	4	3
590	-999	2	1	4	3	3	3	5	3	4	5	4
592	-999	2	1	4	3	4	-999	-999	4	4	4	4
593	-999	2	2	4	3	4	4	4	3	4	4	4
594	29	2	2	4	3	3	4	3	3	3	5	3
595	42	3	2	3	4	5	5	5	4	4	5	5
597	29	2	2	3	3	5	2	4	4	3	4	4
598	26	2	2	3	2	4	4	4	4	5	5	4
600	-999	2	2	4	4	3	1	4	4	4	-999	4
602	31	6	2	4	1	3	2	2	1	4	4	4
603	55	6	2	4	3	5	3	4	3	4	4	4
604	28	2	1	1	1	1	5	5	5	3	4	5
605	-999	4	2	4	3	4	2	2	2	3	5	4
606	-999	-999	-999	-999	3	3	3	3	2	3	5	4
607	45	2	2	3	2	3	2	2	-999	3	1	3
609	-999	-999	-999	-999	5	4	4	5	5	4	4	3
610	-999	4	2	3	3	4	2	2	1	3	4	3
612	40	4	2	4	4	4	4	3	3	4	4	-999
613	27	2	2	3	3	3	3	3	3	3	4	4
